sample_id,video_path,label,crash_ego,weather,timing
TRAIN_0029,./train/TRAIN_0029.mp4,0,0.0,-1,-1
TRAIN_0030,./train/TRAIN_0030.mp4,0,0.0,-1,-1
TRAIN_0031,./train/TRAIN_0031.mp4,1,2.0,0,0
TRAIN_0032,./train/TRAIN_0032.mp4,0,0.0,-1,-1
TRAIN_0033,./train/TRAIN_0033.mp4,0,0.0,-1,-1
TRAIN_0034,./train/TRAIN_0034.mp4,0,0.0,-1,-1
TRAIN_0035,./train/TRAIN_0035.mp4,4,2.0,1,1
TRAIN_0036,./train/TRAIN_0036.mp4,0,0.0,-1,-1
TRAIN_0037,./train/TRAIN_0037.mp4,7,1.0,0,0
TRAIN_0038,./train/TRAIN_0038.mp4,2,2.0,0,1
TRAIN_0039,./train/TRAIN_0039.mp4,0,0.0,-1,-1
TRAIN_0040,./train/TRAIN_0040.mp4,0,0.0,-1,-1
TRAIN_0041,./train/TRAIN_0041.mp4,0,0.0,-1,-1
TRAIN_0042,./train/TRAIN_0042.mp4,0,0.0,-1,-1
TRAIN_0043,./train/TRAIN_0043.mp4,0,0.0,-1,-1
TRAIN_0044,./train/TRAIN_0044.mp4,0,0.0,-1,-1
TRAIN_0045,./train/TRAIN_0045.mp4,0,0.0,-1,-1
TRAIN_0046,./train/TRAIN_0046.mp4,0,0.0,-1,-1
TRAIN_0047,./train/TRAIN_0047.mp4,11,1.0,2,0
TRAIN_0048,./train/TRAIN_0048.mp4,7,1.0,0,0
TRAIN_0049,./train/TRAIN_0049.mp4,1,2.0,0,0
TRAIN_0050,./train/TRAIN_0050.mp4,2,2.0,0,1
TRAIN_0051,./train/TRAIN_0051.mp4,0,0.0,-1,-1
TRAIN_0052,./train/TRAIN_0052.mp4,0,0.0,-1,-1
TRAIN_0053,./train/TRAIN_0053.mp4,0,0.0,-1,-1
TRAIN_0054,./train/TRAIN_0054.mp4,0,0.0,-1,-1
TRAIN_0055,./train/TRAIN_0055.mp4,2,2.0,0,1
TRAIN_0056,./train/TRAIN_0056.mp4,7,1.0,0,0
TRAIN_0057,./train/TRAIN_0057.mp4,0,0.0,-1,-1
TRAIN_0058,./train/TRAIN_0058.mp4,9,1.0,1,0
TRAIN_0059,./train/TRAIN_0059.mp4,7,1.0,0,0
TRAIN_0060,./train/TRAIN_0060.mp4,7,1.0,0,0
TRAIN_0061,./train/TRAIN_0061.mp4,7,1.0,0,0
TRAIN_0062,./train/TRAIN_0062.mp4,0,0.0,-1,-1
TRAIN_0063,./train/TRAIN_0063.mp4,0,0.0,-1,-1
TRAIN_0064,./train/TRAIN_0064.mp4,7,1.0,0,0
TRAIN_0065,./train/TRAIN_0065.mp4,7,1.0,0,0
TRAIN_0066,./train/TRAIN_0066.mp4,1,2.0,0,0
TRAIN_0067,./train/TRAIN_0067.mp4,0,0.0,-1,-1
TRAIN_0068,./train/TRAIN_0068.mp4,0,0.0,-1,-1
TRAIN_0069,./train/TRAIN_0069.mp4,0,0.0,-1,-1
TRAIN_0070,./train/TRAIN_0070.mp4,0,0.0,-1,-1
TRAIN_0071,./train/TRAIN_0071.mp4,0,0.0,-1,-1
TRAIN_0072,./train/TRAIN_0072.mp4,0,0.0,-1,-1
TRAIN_0073,./train/TRAIN_0073.mp4,0,0.0,-1,-1
TRAIN_0074,./train/TRAIN_0074.mp4,7,1.0,0,0
TRAIN_0075,./train/TRAIN_0075.mp4,0,0.0,-1,-1
TRAIN_0076,./train/TRAIN_0076.mp4,0,0.0,-1,-1
TRAIN_0077,./train/TRAIN_0077.mp4,1,2.0,0,0
TRAIN_0078,./train/TRAIN_0078.mp4,0,0.0,-1,-1
TRAIN_0079,./train/TRAIN_0079.mp4,0,0.0,-1,-1
TRAIN_0080,./train/TRAIN_0080.mp4,1,2.0,0,0
TRAIN_0081,./train/TRAIN_0081.mp4,7,1.0,0,0
TRAIN_0082,./train/TRAIN_0082.mp4,0,0.0,-1,-1
TRAIN_0083,./train/TRAIN_0083.mp4,0,0.0,-1,-1
TRAIN_0084,./train/TRAIN_0084.mp4,0,0.0,-1,-1
TRAIN_0085,./train/TRAIN_0085.mp4,0,0.0,-1,-1
TRAIN_0086,./train/TRAIN_0086.mp4,0,0.0,-1,-1
TRAIN_0087,./train/TRAIN_0087.mp4,0,0.0,-1,-1
TRAIN_0088,./train/TRAIN_0088.mp4,0,0.0,-1,-1
TRAIN_0089,./train/TRAIN_0089.mp4,0,0.0,-1,-1
TRAIN_0090,./train/TRAIN_0090.mp4,0,0.0,-1,-1
TRAIN_0091,./train/TRAIN_0091.mp4,0,0.0,-1,-1
TRAIN_0092,./train/TRAIN_0092.mp4,0,0.0,-1,-1
TRAIN_0093,./train/TRAIN_0093.mp4,0,0.0,-1,-1
TRAIN_0094,./train/TRAIN_0094.mp4,0,0.0,-1,-1
TRAIN_0095,./train/TRAIN_0095.mp4,0,0.0,-1,-1
TRAIN_0096,./train/TRAIN_0096.mp4,0,0.0,-1,-1
TRAIN_0097,./train/TRAIN_0097.mp4,1,2.0,0,0
TRAIN_0098,./train/TRAIN_0098.mp4,0,0.0,-1,-1
TRAIN_0099,./train/TRAIN_0099.mp4,0,0.0,-1,-1
TRAIN_0100,./train/TRAIN_0100.mp4,0,0.0,-1,-1
TRAIN_0101,./train/TRAIN_0101.mp4,0,0.0,-1,-1
TRAIN_0102,./train/TRAIN_0102.mp4,0,0.0,-1,-1
TRAIN_0103,./train/TRAIN_0103.mp4,0,0.0,-1,-1
TRAIN_0104,./train/TRAIN_0104.mp4,0,0.0,-1,-1
TRAIN_0105,./train/TRAIN_0105.mp4,1,2.0,0,0
TRAIN_0106,./train/TRAIN_0106.mp4,1,2.0,0,0
TRAIN_0107,./train/TRAIN_0107.mp4,7,1.0,0,0
TRAIN_0108,./train/TRAIN_0108.mp4,7,1.0,0,0
TRAIN_0109,./train/TRAIN_0109.mp4,7,1.0,0,0
TRAIN_0110,./train/TRAIN_0110.mp4,0,0.0,-1,-1
TRAIN_0111,./train/TRAIN_0111.mp4,7,1.0,0,0
TRAIN_0112,./train/TRAIN_0112.mp4,0,0.0,-1,-1
TRAIN_0113,./train/TRAIN_0113.mp4,1,2.0,0,0
TRAIN_0114,./train/TRAIN_0114.mp4,1,2.0,0,0
TRAIN_0115,./train/TRAIN_0115.mp4,1,2.0,0,0
TRAIN_0116,./train/TRAIN_0116.mp4,0,0.0,-1,-1
TRAIN_0117,./train/TRAIN_0117.mp4,0,0.0,-1,-1
TRAIN_0118,./train/TRAIN_0118.mp4,0,0.0,-1,-1
TRAIN_0119,./train/TRAIN_0119.mp4,0,0.0,-1,-1
TRAIN_0120,./train/TRAIN_0120.mp4,0,0.0,-1,-1
TRAIN_0121,./train/TRAIN_0121.mp4,0,0.0,-1,-1
TRAIN_0122,./train/TRAIN_0122.mp4,0,0.0,-1,-1
TRAIN_0123,./train/TRAIN_0123.mp4,2,2.0,0,1
TRAIN_0124,./train/TRAIN_0124.mp4,0,0.0,-1,-1
TRAIN_0125,./train/TRAIN_0125.mp4,0,0.0,-1,-1
TRAIN_0126,./train/TRAIN_0126.mp4,7,1.0,0,0
TRAIN_0127,./train/TRAIN_0127.mp4,0,0.0,-1,-1
TRAIN_0128,./train/TRAIN_0128.mp4,0,0.0,-1,-1
TRAIN_0129,./train/TRAIN_0129.mp4,4,2.0,1,1
TRAIN_0130,./train/TRAIN_0130.mp4,0,0.0,-1,-1
TRAIN_0131,./train/TRAIN_0131.mp4,0,0.0,-1,-1
TRAIN_0132,./train/TRAIN_0132.mp4,0,0.0,-1,-1
TRAIN_0133,./train/TRAIN_0133.mp4,0,0.0,-1,-1
TRAIN_0134,./train/TRAIN_0134.mp4,0,0.0,-1,-1
TRAIN_0135,./train/TRAIN_0135.mp4,0,0.0,-1,-1
TRAIN_0136,./train/TRAIN_0136.mp4,0,0.0,-1,-1
TRAIN_0137,./train/TRAIN_0137.mp4,0,0.0,-1,-1
TRAIN_0138,./train/TRAIN_0138.mp4,0,0.0,-1,-1
TRAIN_0139,./train/TRAIN_0139.mp4,0,0.0,-1,-1
TRAIN_0140,./train/TRAIN_0140.mp4,0,0.0,-1,-1
TRAIN_0141,./train/TRAIN_0141.mp4,0,0.0,-1,-1
TRAIN_0142,./train/TRAIN_0142.mp4,0,0.0,-1,-1
TRAIN_0143,./train/TRAIN_0143.mp4,3,2.0,1,0
TRAIN_0144,./train/TRAIN_0144.mp4,8,1.0,0,1
TRAIN_0145,./train/TRAIN_0145.mp4,7,1.0,0,0
TRAIN_0146,./train/TRAIN_0146.mp4,0,0.0,-1,-1
TRAIN_0147,./train/TRAIN_0147.mp4,0,0.0,-1,-1
TRAIN_0148,./train/TRAIN_0148.mp4,0,0.0,-1,-1
TRAIN_0149,./train/TRAIN_0149.mp4,1,2.0,0,0
TRAIN_0150,./train/TRAIN_0150.mp4,0,0.0,-1,-1
TRAIN_0151,./train/TRAIN_0151.mp4,0,0.0,-1,-1
TRAIN_0152,./train/TRAIN_0152.mp4,1,2.0,0,0
TRAIN_0153,./train/TRAIN_0153.mp4,1,2.0,0,0
TRAIN_0154,./train/TRAIN_0154.mp4,0,0.0,-1,-1
TRAIN_0155,./train/TRAIN_0155.mp4,0,0.0,-1,-1
TRAIN_0156,./train/TRAIN_0156.mp4,1,2.0,0,0
TRAIN_0157,./train/TRAIN_0157.mp4,0,0.0,-1,-1
TRAIN_0158,./train/TRAIN_0158.mp4,0,0.0,-1,-1
TRAIN_0159,./train/TRAIN_0159.mp4,0,0.0,-1,-1
TRAIN_0160,./train/TRAIN_0160.mp4,0,0.0,-1,-1
TRAIN_0161,./train/TRAIN_0161.mp4,0,0.0,-1,-1
TRAIN_0162,./train/TRAIN_0162.mp4,0,0.0,-1,-1
TRAIN_0163,./train/TRAIN_0163.mp4,0,0.0,-1,-1
TRAIN_0164,./train/TRAIN_0164.mp4,3,2.0,1,0
TRAIN_0165,./train/TRAIN_0165.mp4,0,0.0,-1,-1
TRAIN_0166,./train/TRAIN_0166.mp4,0,0.0,-1,-1
TRAIN_0167,./train/TRAIN_0167.mp4,0,0.0,-1,-1
TRAIN_0168,./train/TRAIN_0168.mp4,1,2.0,0,0
TRAIN_0169,./train/TRAIN_0169.mp4,0,0.0,-1,-1
TRAIN_0170,./train/TRAIN_0170.mp4,7,1.0,0,0
TRAIN_0171,./train/TRAIN_0171.mp4,0,0.0,-1,-1
TRAIN_0172,./train/TRAIN_0172.mp4,1,2.0,0,0
TRAIN_0173,./train/TRAIN_0173.mp4,4,2.0,1,1
TRAIN_0174,./train/TRAIN_0174.mp4,3,2.0,1,0
TRAIN_0175,./train/TRAIN_0175.mp4,0,0.0,-1,-1
TRAIN_0176,./train/TRAIN_0176.mp4,0,0.0,-1,-1
TRAIN_0177,./train/TRAIN_0177.mp4,0,0.0,-1,-1
TRAIN_0178,./train/TRAIN_0178.mp4,0,0.0,-1,-1
TRAIN_0179,./train/TRAIN_0179.mp4,0,0.0,-1,-1
TRAIN_0180,./train/TRAIN_0180.mp4,0,0.0,-1,-1
TRAIN_0181,./train/TRAIN_0181.mp4,0,0.0,-1,-1
TRAIN_0182,./train/TRAIN_0182.mp4,0,0.0,-1,-1
TRAIN_0183,./train/TRAIN_0183.mp4,0,0.0,-1,-1
TRAIN_0184,./train/TRAIN_0184.mp4,0,0.0,-1,-1
TRAIN_0185,./train/TRAIN_0185.mp4,0,0.0,-1,-1
TRAIN_0186,./train/TRAIN_0186.mp4,1,2.0,0,0
TRAIN_0187,./train/TRAIN_0187.mp4,0,0.0,-1,-1
TRAIN_0188,./train/TRAIN_0188.mp4,0,0.0,-1,-1
TRAIN_0189,./train/TRAIN_0189.mp4,0,0.0,-1,-1
TRAIN_0190,./train/TRAIN_0190.mp4,2,2.0,0,1
TRAIN_0191,./train/TRAIN_0191.mp4,0,0.0,-1,-1
TRAIN_0192,./train/TRAIN_0192.mp4,0,0.0,-1,-1
TRAIN_0193,./train/TRAIN_0193.mp4,0,0.0,-1,-1
TRAIN_0194,./train/TRAIN_0194.mp4,0,0.0,-1,-1
TRAIN_0195,./train/TRAIN_0195.mp4,0,0.0,-1,-1
TRAIN_0196,./train/TRAIN_0196.mp4,1,2.0,0,0
TRAIN_0197,./train/TRAIN_0197.mp4,0,0.0,-1,-1
TRAIN_0198,./train/TRAIN_0198.mp4,0,0.0,-1,-1
TRAIN_0199,./train/TRAIN_0199.mp4,0,0.0,-1,-1
TRAIN_0200,./train/TRAIN_0200.mp4,0,0.0,-1,-1
TRAIN_0201,./train/TRAIN_0201.mp4,0,0.0,-1,-1
TRAIN_0202,./train/TRAIN_0202.mp4,0,0.0,-1,-1
TRAIN_0203,./train/TRAIN_0203.mp4,0,0.0,-1,-1
TRAIN_0204,./train/TRAIN_0204.mp4,0,0.0,-1,-1
TRAIN_0205,./train/TRAIN_0205.mp4,1,2.0,0,0
TRAIN_0206,./train/TRAIN_0206.mp4,0,0.0,-1,-1
TRAIN_0207,./train/TRAIN_0207.mp4,11,1.0,2,0
TRAIN_0208,./train/TRAIN_0208.mp4,0,0.0,-1,-1
TRAIN_0209,./train/TRAIN_0209.mp4,0,0.0,-1,-1
TRAIN_0210,./train/TRAIN_0210.mp4,0,0.0,-1,-1
TRAIN_0211,./train/TRAIN_0211.mp4,0,0.0,-1,-1
TRAIN_0212,./train/TRAIN_0212.mp4,0,0.0,-1,-1
TRAIN_0213,./train/TRAIN_0213.mp4,1,2.0,0,0
TRAIN_0214,./train/TRAIN_0214.mp4,0,0.0,-1,-1
TRAIN_0215,./train/TRAIN_0215.mp4,7,1.0,0,0
TRAIN_0216,./train/TRAIN_0216.mp4,0,0.0,-1,-1
TRAIN_0217,./train/TRAIN_0217.mp4,0,0.0,-1,-1
TRAIN_0218,./train/TRAIN_0218.mp4,0,0.0,-1,-1
TRAIN_0219,./train/TRAIN_0219.mp4,0,0.0,-1,-1
TRAIN_0220,./train/TRAIN_0220.mp4,1,2.0,0,0
TRAIN_0221,./train/TRAIN_0221.mp4,2,2.0,0,1
TRAIN_0222,./train/TRAIN_0222.mp4,7,1.0,0,0
TRAIN_0223,./train/TRAIN_0223.mp4,0,0.0,-1,-1
TRAIN_0224,./train/TRAIN_0224.mp4,0,0.0,-1,-1
TRAIN_0225,./train/TRAIN_0225.mp4,3,2.0,1,0
TRAIN_0226,./train/TRAIN_0226.mp4,0,0.0,-1,-1
TRAIN_0227,./train/TRAIN_0227.mp4,1,2.0,0,0
TRAIN_0228,./train/TRAIN_0228.mp4,0,0.0,-1,-1
TRAIN_0229,./train/TRAIN_0229.mp4,0,0.0,-1,-1
TRAIN_0230,./train/TRAIN_0230.mp4,0,0.0,-1,-1
TRAIN_0231,./train/TRAIN_0231.mp4,0,0.0,-1,-1
TRAIN_0232,./train/TRAIN_0232.mp4,9,1.0,1,0
TRAIN_0233,./train/TRAIN_0233.mp4,0,0.0,-1,-1
TRAIN_0234,./train/TRAIN_0234.mp4,7,1.0,0,0
TRAIN_0235,./train/TRAIN_0235.mp4,0,0.0,-1,-1
TRAIN_0236,./train/TRAIN_0236.mp4,0,0.0,-1,-1
TRAIN_0237,./train/TRAIN_0237.mp4,0,0.0,-1,-1
TRAIN_0238,./train/TRAIN_0238.mp4,8,1.0,0,1
TRAIN_0239,./train/TRAIN_0239.mp4,0,0.0,-1,-1
TRAIN_0240,./train/TRAIN_0240.mp4,0,0.0,-1,-1
TRAIN_0241,./train/TRAIN_0241.mp4,1,2.0,0,0
TRAIN_0242,./train/TRAIN_0242.mp4,1,2.0,0,0
TRAIN_0243,./train/TRAIN_0243.mp4,0,0.0,-1,-1
TRAIN_0244,./train/TRAIN_0244.mp4,0,0.0,-1,-1
TRAIN_0245,./train/TRAIN_0245.mp4,0,0.0,-1,-1
TRAIN_0246,./train/TRAIN_0246.mp4,3,2.0,1,0
TRAIN_0247,./train/TRAIN_0247.mp4,3,2.0,1,0
TRAIN_0248,./train/TRAIN_0248.mp4,10,1.0,1,1
TRAIN_0249,./train/TRAIN_0249.mp4,0,0.0,-1,-1
TRAIN_0250,./train/TRAIN_0250.mp4,0,0.0,-1,-1
TRAIN_0251,./train/TRAIN_0251.mp4,0,0.0,-1,-1
TRAIN_0252,./train/TRAIN_0252.mp4,0,0.0,-1,-1
TRAIN_0253,./train/TRAIN_0253.mp4,7,1.0,0,0
TRAIN_0254,./train/TRAIN_0254.mp4,0,0.0,-1,-1
TRAIN_0255,./train/TRAIN_0255.mp4,0,0.0,-1,-1
TRAIN_0256,./train/TRAIN_0256.mp4,0,0.0,-1,-1
TRAIN_0257,./train/TRAIN_0257.mp4,0,0.0,-1,-1
TRAIN_0258,./train/TRAIN_0258.mp4,7,1.0,0,0
TRAIN_0259,./train/TRAIN_0259.mp4,0,0.0,-1,-1
TRAIN_0260,./train/TRAIN_0260.mp4,0,0.0,-1,-1
TRAIN_0261,./train/TRAIN_0261.mp4,0,0.0,-1,-1
TRAIN_0262,./train/TRAIN_0262.mp4,0,0.0,-1,-1
TRAIN_0263,./train/TRAIN_0263.mp4,1,2.0,0,0
TRAIN_0264,./train/TRAIN_0264.mp4,0,0.0,-1,-1
TRAIN_0265,./train/TRAIN_0265.mp4,0,0.0,-1,-1
TRAIN_0266,./train/TRAIN_0266.mp4,0,0.0,-1,-1
TRAIN_0267,./train/TRAIN_0267.mp4,1,2.0,0,0
TRAIN_0268,./train/TRAIN_0268.mp4,3,2.0,1,0
TRAIN_0269,./train/TRAIN_0269.mp4,0,0.0,-1,-1
TRAIN_0270,./train/TRAIN_0270.mp4,0,0.0,-1,-1
TRAIN_0271,./train/TRAIN_0271.mp4,0,0.0,-1,-1
TRAIN_0272,./train/TRAIN_0272.mp4,5,2.0,2,0
TRAIN_0273,./train/TRAIN_0273.mp4,0,0.0,-1,-1
TRAIN_0274,./train/TRAIN_0274.mp4,0,0.0,-1,-1
TRAIN_0275,./train/TRAIN_0275.mp4,0,0.0,-1,-1
TRAIN_0276,./train/TRAIN_0276.mp4,1,2.0,0,0
TRAIN_0277,./train/TRAIN_0277.mp4,0,0.0,-1,-1
TRAIN_0278,./train/TRAIN_0278.mp4,0,0.0,-1,-1
TRAIN_0279,./train/TRAIN_0279.mp4,0,0.0,-1,-1
TRAIN_0280,./train/TRAIN_0280.mp4,1,2.0,0,0
TRAIN_0281,./train/TRAIN_0281.mp4,0,0.0,-1,-1
TRAIN_0282,./train/TRAIN_0282.mp4,1,2.0,0,0
TRAIN_0283,./train/TRAIN_0283.mp4,1,2.0,0,0
TRAIN_0284,./train/TRAIN_0284.mp4,1,2.0,0,0
TRAIN_0285,./train/TRAIN_0285.mp4,7,1.0,0,0
TRAIN_0286,./train/TRAIN_0286.mp4,0,0.0,-1,-1
TRAIN_0287,./train/TRAIN_0287.mp4,1,2.0,0,0
TRAIN_0288,./train/TRAIN_0288.mp4,0,0.0,-1,-1
TRAIN_0289,./train/TRAIN_0289.mp4,11,1.0,2,0
TRAIN_0290,./train/TRAIN_0290.mp4,0,0.0,-1,-1
TRAIN_0291,./train/TRAIN_0291.mp4,0,0.0,-1,-1
TRAIN_0292,./train/TRAIN_0292.mp4,7,1.0,0,0
TRAIN_0293,./train/TRAIN_0293.mp4,0,0.0,-1,-1
TRAIN_0294,./train/TRAIN_0294.mp4,7,1.0,0,0
TRAIN_0295,./train/TRAIN_0295.mp4,3,2.0,1,0
TRAIN_0296,./train/TRAIN_0296.mp4,7,1.0,0,0
TRAIN_0297,./train/TRAIN_0297.mp4,1,2.0,0,0
TRAIN_0298,./train/TRAIN_0298.mp4,0,0.0,-1,-1
TRAIN_0299,./train/TRAIN_0299.mp4,0,0.0,-1,-1
TRAIN_0300,./train/TRAIN_0300.mp4,7,1.0,0,0
TRAIN_0301,./train/TRAIN_0301.mp4,0,0.0,-1,-1
TRAIN_0302,./train/TRAIN_0302.mp4,0,0.0,-1,-1
TRAIN_0303,./train/TRAIN_0303.mp4,0,0.0,-1,-1
TRAIN_0304,./train/TRAIN_0304.mp4,0,0.0,-1,-1
TRAIN_0305,./train/TRAIN_0305.mp4,0,0.0,-1,-1
TRAIN_0306,./train/TRAIN_0306.mp4,1,2.0,0,0
TRAIN_0307,./train/TRAIN_0307.mp4,7,1.0,0,0
TRAIN_0308,./train/TRAIN_0308.mp4,0,0.0,-1,-1
TRAIN_0309,./train/TRAIN_0309.mp4,0,0.0,-1,-1
TRAIN_0310,./train/TRAIN_0310.mp4,7,1.0,0,0
TRAIN_0311,./train/TRAIN_0311.mp4,1,2.0,0,0
TRAIN_0312,./train/TRAIN_0312.mp4,0,0.0,-1,-1
TRAIN_0313,./train/TRAIN_0313.mp4,1,2.0,0,0
TRAIN_0314,./train/TRAIN_0314.mp4,9,1.0,1,0
TRAIN_0315,./train/TRAIN_0315.mp4,0,0.0,-1,-1
TRAIN_0316,./train/TRAIN_0316.mp4,7,1.0,0,0
TRAIN_0317,./train/TRAIN_0317.mp4,0,0.0,-1,-1
TRAIN_0318,./train/TRAIN_0318.mp4,11,1.0,2,0
TRAIN_0319,./train/TRAIN_0319.mp4,0,0.0,-1,-1
TRAIN_0320,./train/TRAIN_0320.mp4,0,0.0,-1,-1
TRAIN_0321,./train/TRAIN_0321.mp4,7,1.0,0,0
TRAIN_0322,./train/TRAIN_0322.mp4,0,0.0,-1,-1
TRAIN_0323,./train/TRAIN_0323.mp4,1,2.0,0,0
TRAIN_0324,./train/TRAIN_0324.mp4,0,0.0,-1,-1
TRAIN_0325,./train/TRAIN_0325.mp4,7,1.0,0,0
TRAIN_0326,./train/TRAIN_0326.mp4,0,0.0,-1,-1
TRAIN_0327,./train/TRAIN_0327.mp4,7,1.0,0,0
TRAIN_0328,./train/TRAIN_0328.mp4,0,0.0,-1,-1
TRAIN_0329,./train/TRAIN_0329.mp4,0,0.0,-1,-1
TRAIN_0330,./train/TRAIN_0330.mp4,0,0.0,-1,-1
TRAIN_0331,./train/TRAIN_0331.mp4,0,0.0,-1,-1
TRAIN_0332,./train/TRAIN_0332.mp4,7,1.0,0,0
TRAIN_0333,./train/TRAIN_0333.mp4,0,0.0,-1,-1
TRAIN_0334,./train/TRAIN_0334.mp4,0,0.0,-1,-1
TRAIN_0335,./train/TRAIN_0335.mp4,0,0.0,-1,-1
TRAIN_0336,./train/TRAIN_0336.mp4,0,0.0,-1,-1
TRAIN_0337,./train/TRAIN_0337.mp4,1,2.0,0,0
TRAIN_0338,./train/TRAIN_0338.mp4,5,2.0,2,0
TRAIN_0339,./train/TRAIN_0339.mp4,0,0.0,-1,-1
TRAIN_0340,./train/TRAIN_0340.mp4,0,0.0,-1,-1
TRAIN_0341,./train/TRAIN_0341.mp4,7,1.0,0,0
TRAIN_0342,./train/TRAIN_0342.mp4,9,1.0,1,0
TRAIN_0343,./train/TRAIN_0343.mp4,11,1.0,2,0
TRAIN_0344,./train/TRAIN_0344.mp4,0,0.0,-1,-1
TRAIN_0345,./train/TRAIN_0345.mp4,0,0.0,-1,-1
TRAIN_0346,./train/TRAIN_0346.mp4,7,1.0,0,0
TRAIN_0347,./train/TRAIN_0347.mp4,11,1.0,2,0
TRAIN_0348,./train/TRAIN_0348.mp4,0,0.0,-1,-1
TRAIN_0349,./train/TRAIN_0349.mp4,7,1.0,0,0
TRAIN_0350,./train/TRAIN_0350.mp4,0,0.0,-1,-1
TRAIN_0351,./train/TRAIN_0351.mp4,0,0.0,-1,-1
TRAIN_0352,./train/TRAIN_0352.mp4,2,2.0,0,1
TRAIN_0353,./train/TRAIN_0353.mp4,0,0.0,-1,-1
TRAIN_0354,./train/TRAIN_0354.mp4,0,0.0,-1,-1
TRAIN_0355,./train/TRAIN_0355.mp4,0,0.0,-1,-1
TRAIN_0356,./train/TRAIN_0356.mp4,0,0.0,-1,-1
TRAIN_0357,./train/TRAIN_0357.mp4,7,1.0,0,0
TRAIN_0358,./train/TRAIN_0358.mp4,0,0.0,-1,-1
TRAIN_0359,./train/TRAIN_0359.mp4,0,0.0,-1,-1
TRAIN_0360,./train/TRAIN_0360.mp4,0,0.0,-1,-1
TRAIN_0361,./train/TRAIN_0361.mp4,0,0.0,-1,-1
TRAIN_0362,./train/TRAIN_0362.mp4,0,0.0,-1,-1
TRAIN_0363,./train/TRAIN_0363.mp4,0,0.0,-1,-1
TRAIN_0364,./train/TRAIN_0364.mp4,0,0.0,-1,-1
TRAIN_0365,./train/TRAIN_0365.mp4,0,0.0,-1,-1
TRAIN_0366,./train/TRAIN_0366.mp4,7,1.0,0,0
TRAIN_0367,./train/TRAIN_0367.mp4,0,0.0,-1,-1
TRAIN_0368,./train/TRAIN_0368.mp4,0,0.0,-1,-1
TRAIN_0369,./train/TRAIN_0369.mp4,0,0.0,-1,-1
TRAIN_0370,./train/TRAIN_0370.mp4,0,0.0,-1,-1
TRAIN_0371,./train/TRAIN_0371.mp4,0,0.0,-1,-1
TRAIN_0372,./train/TRAIN_0372.mp4,8,1.0,0,1
TRAIN_0373,./train/TRAIN_0373.mp4,5,2.0,2,0
TRAIN_0374,./train/TRAIN_0374.mp4,7,1.0,0,0
TRAIN_0375,./train/TRAIN_0375.mp4,2,2.0,0,1
TRAIN_0376,./train/TRAIN_0376.mp4,0,0.0,-1,-1
TRAIN_0377,./train/TRAIN_0377.mp4,7,1.0,0,0
TRAIN_0378,./train/TRAIN_0378.mp4,0,0.0,-1,-1
TRAIN_0379,./train/TRAIN_0379.mp4,0,0.0,-1,-1
TRAIN_0380,./train/TRAIN_0380.mp4,7,1.0,0,0
TRAIN_0381,./train/TRAIN_0381.mp4,0,0.0,-1,-1
TRAIN_0382,./train/TRAIN_0382.mp4,0,0.0,-1,-1
TRAIN_0383,./train/TRAIN_0383.mp4,0,0.0,-1,-1
